title,description,website,main_cat_1,main_cat_2,tag_1,tag_2,tag_3,tags
Alpaca API,Alpaca API lets you build and trade with real-time market data for free.,https://alpaca.markets/,DEVELOPER TOOLS,,,,,
Alphabetical list of CSS Properties (Open Web Reference),,http://ref.openweb.io/CSS/,DEVELOPER TOOLS,,,,,
Amazon NGO Donations,,https://org.amazon.com,NONPROFITS,,,,,
Amazon Web Services (AWS) for Nonprofits,AWS for Nonprofits & NGOs,https://aws.amazon.com/government-education/nonprofits/,NONPROFITS,DEVELOPER TOOLS,,,,
AMCharts,Programming library for all your data visualization needs.,https://www.amcharts.com/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,
American Civil Liberties Union (ACLU) – United States (US),"The American Civil Liberties Union is a nonprofit organization founded in 1920 ""to defend and preserve the individual rights and liberties guaranteed to every person in this country by the Constitution and laws of the United States""",https://www.aclu.org,NONPROFITS,,,,,
AMI responsivedesign,Am I Responsive?,http://ami.responsivedesign.is/,BUSINESS TOOLS,DEVELOPER TOOLS,,,,"[""SPAIN""]"
Amnesty International,,https://www.amnesty.org/en/,NONPROFITS,,,,,"[""BLOCKCHAIN"",""SMART CONTRACTS""]"
AMP,AMP is a web component framework to easily create user-first websites.,https://amp.dev/,DEVELOPER TOOLS,,,,,
Anaconda Cloud,"Where packages, notebooks, projects and environments are shared",https://anaconda.org/,DEVELOPER TOOLS,,,,,
Analytical Centre on Globalization and Regional Cooperation (ACGRC),,http://www.acgrc.am,NONPROFITS,,,,,
Angel List,Where the world meets startups,https://angel.co,PERSONAL & PROFESSIONAL DEV,,STARTUPS,CAREER,JOB,"[""SPAIN""]"
Angel Salaries,Startup Salary & Equity Share,https://angel.co/salaries,RESOURCE BASES,,,,,"[""CROWDSOURCING"",""DATA SCIENCE"",""ARTIFICIAL INTELLIGENCE""]"
AngelPad,Seed-stage accelerator program based in NYC and San Francisco,https://angelpad.com/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Animaker,"Animated Videos, Done Right!",https://www.animaker.com,CREATIVE,,,,,
AnyChart,A global leader in Interactive Data Visualization.,https://www.anychart.com/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,"[""DATABASES"",""WORKFLOWS"",""SPREADSHEET"",""PROJECT MANAGEMENT""]"
Apache Airflow,"Airflow is a platform created by the community to programmatically author, schedule and monitor workflows.",https://airflow.apache.org/,PROJECT MANAGEMENT,DEVELOPER TOOLS,WORKFLOW,PROJECT MANAGEMENT,,
APIfy,"Apify is the one-stop shop for all your web scraping, data extraction, and robotic process automation needs.",https://apify.com/,DEVELOPER TOOLS,,API,DATA,,
Aporta Datos Gob – Spain,Open data initiative of the Government of Spain,http://datos.gob.es/en,RESOURCE BASES,,,,,
App in the Air,Your personal flying assistant that keeps you up-to-date with your flight.,https://www.appintheair.mobi/,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,"[""MOOCs"",""ONLINE LEARNING"",""EDUCATION""]"
Appleseed Network – United States (US),"Appleseed is a nonprofit network of 16 Centers across the U.S. and Mexico, dedicated to advancing justice and equity.",http://www.appleseednetwork.org,NONPROFITS,,,,,"[""API"",""TRADING""]"
Appsody,Compose a cloud native masterpiece.,https://appsody.dev/,DEVELOPER TOOLS,,,,,"[""CSS"",""WEBSITES"",""CASCADING STYLE SHEETS""]"
APX,Building a better future for startups and society,https://apx.ac/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,"[""FUNDING"",""NONPROFIT"",""DONATIONS""]"
ArcGIS Hub,Transform how you engage and collaborate with your community.,https://hub.arcgis.com,BUSINESS TOOLS,,,,,"[""NONPROFIT"",""CLOUD"",""AWS"",""AMAZON WEB SERVICES""]"
ArcGIS Hub,A two-way engagement platform to connect government and citizens.,https://hub.arcgis.com/,DEVELOPER TOOLS,,,,,"[""VISUALIZATION"",""JAVASCRIPT"",""MAPS"",""DATA VISUALIZATION"",""CHARTS""]"
Asana,"Asana is the work management platform teams use to stay focused on the goals, projects, and daily tasks that grow business.",https://asana.com,BUSINESS TOOLS,,PROJECT MANAGEMENT,,,"[""USA"",""UNITED STATES"",""CIVIL LIBERTIES"",""BILL OF RIGHTS""]"
Asia Society,Preparing Asians and Americans for a Shared Future,https://asiasociety.org,NONPROFITS,,,,,
Asian Infrastructure Investment Bank (AIIB),A multilateral development bank with a mission to improve social and economic outcomes in Asia.,https://www.aiib.org/en/index.html,NONPROFITS,,,,INTL ORG,
Ask The EU – European Union,Get answers from EU Institutions,https://www.asktheeu.org,NONPROFITS,,,,,"[""HTML"",""WEBSITES"",""HTML FRAMEWORK"",""WEB FRAMEWORK"",""OPEN SOURCE""]"
Asociación Española de Normalización (AENOR) – Spain,La Revista de la Evaluación de la Conformidad,https://revista.aenor.com,ENTREPRENEURIAL RESOURCES,,,,,"[ANACONDA CLOUD"",""CLOUD"",""DATA SCIENCE"",""PACKAGES""]"
Asociación Kosmos Polis Spain,,http://www.kosmospolis.com/,NONPROFITS,,,,,
Asociación SevillaUp,We are an association whose mission is to transform the reality of Seville through knowledge and shared experiences from an international approach to build the future that corresponds to it.,https://sevillaup.com,RESOURCE BASES,,,,,
Asset Store Unity,Discover assets to help you deploy your game sooner and start making money faster.,https://assetstore.unity.com/,DEVELOPER TOOLS,,,,,
Association of Southeast Asian Nations (ASEAN),"A regional grouping that promotes economic, political, and security cooperation among its ten members.",http://asean.org,NONPROFITS,,,,,
Atlantic Community,Modernizing Transatlantic Relations,http://atlantic-initiative.org,NONPROFITS,,,,,
Atlas Network,,https://www.atlasnetwork.org,NONPROFITS,,,,,"[""VISUALIZATION"",""JAVASCRIPT"",""MAPS"",""DATA VISUALIZATION"",""CHARTS"",""DASHBOARDS""]"
Atom Bank – United Kingdom,"The future of banking, available today",https://www.atombank.co.uk,FINANCIAL,,BANKING,,,"[""PROJECT MANAGEMENT"",""WORKFLOWS"",""APACHE""]"
Audiense,"Identify relevant audiences, discover amazing actionable insights and inform your strategies to grow your business",https://audiense.com/,MARKETING,,ANALYTICS,,,"[""API"",""WEBSITES"",""AUTOMATION"",""SCRAPING"",WORKFLOWS"",""DATA""]"
Augur,Get exposure to any event or asset in the world for near-zero fees,https://augur.net/,ACCOUNTING & FINANCE,,BLOCKCHAIN,,,"[""SPAIN""]"
Aussie You Too – Australia,Leave everything and go to live in Australia.,http://www.aussieyoutoo.com,RESOURCE BASES,,,,,
Australia Pro Bono Centre – Australia,,https://www.probonocentre.org.au,NONPROFITS,,,,,"[""UNITED STATES"",""USA""]"
Auth0,"Rapidly integrate authentication and authorization for web, mobile, and legacy applications so you can focus on your core business.",https://auth0.com/,DEVELOPER TOOLS,,SECURITY,,,"[""CLOUD"",""APPLICATIONS"",""KUBERNETES"",""WEB FRAMEWORK"",""HTML FRAMEWORK""]"
Authentic Jobs,"The leading job board for designers, hackers, and creative pros",https://authenticjobs.com,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Automate,"Integrate your cloud applications. Automate marketing, sales and business processes.",https://automate.io/,PROJECT MANAGEMENT,DEVELOPER TOOLS,AUTOMATION,DATA,,
Avaaz,,https://avaaz.org/page/en/,NONPROFITS,,,,,"[""CLOUD"",""COMMUNITY ENGAGEMENT"",""ANALYTICS"",""SPATIAL DATA"",""MAPS""]"
AvePoint Privacy Impact Assessment System,Comply with GDPR and other key data protection regulations,https://www.avepoint.com/privacy-impact-assessment/,LEGAL,,,,,
B Impact Assessment – B Lab,,https://app.bimpactassessment.net/get-started/bcorporation,NONPROFITS,,,,,
Bachbook,"Do sales right with Batchbook, a small business CRM",http://batchbook.com,BUSINESS TOOLS,ACCOUNTING & FINANCE,,,,
Balsamiq,We make UI Design Accessible,https://balsamiq.com/,DEVELOPER TOOLS,CREATIVE,,,,
Barcelona Centre for International Affairs (CIDOB),,https://www.cidob.org/en/,NONPROFITS,,,,,"[""SPAIN""]"
Barcelona Startup Week,Startup Week is a five day celebration of your community.,https://barcelona.startupweek.co/,RESOURCE BASES,,COMMUNITIES,,,"[""SPAIN""]"
Barclays Accelerator,A unique programme designed to take your business further. We're fintech-focused and overflowing with opportunities,http://www.barclaysaccelerator.com/#/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
BareMetrics StartUp Calculator,Startup Calculator,https://baremetrics.com/startup-calculator,ENTREPRENEURIAL RESOURCES,,,,,"[""UNITY"",""GAMING"",""ASSETS"",""TEMPLATES""]"
Barn Images,Free high-resolution images for everyone.,https://barnimages.com/,CREATIVE,,PHOTO STOCKS,,,
Basecamp,"Basecamp helps you increase accountability, communicate more efficiently, and keep everyone on the same page.",https://basecamp.com,BUSINESS TOOLS,,PROJECT MANAGEMENT,,,
Baserow,Open-source data collaboration platform for users and developers.,https://baserow.io/,DEVELOPER TOOLS,,,,,
Bayes Impact – United States (US),,https://www.bayesimpact.org,NONPROFITS,,,,,"[""BANKING"",""SAVINGS""]"
BBC Country Profiles,"Full profiles provide an instant guide to history, politics and economic background of countries and territories, and background on key institutions.",http://news.bbc.co.uk/2/hi/country_profiles/default.stm,RESOURCE BASES,,COUNTRY PROFILES,RESEARCH,,
BCorporation (BCorp),"Certified B Corporations are businesses that meet the highest standards of verified social and environmental performance, public transparency, and legal accountability to balance profit and purpose.",https://www.bcorporation.net/,BUSINESS TOOLS,,,,,
Be Funky,Photo Editing and Graphic Design Made for Everyone,https://www.befunky.com/es/,MARKETING,CREATIVE,,,,
BeatExcel,Get to the next level in excel,http://beatexcel.com/,BUSINESS TOOLS,RESOURCE BASES,EXCEL,TEMPLATES,,
Beautiful AI,A.I. Powered Presentation Software,https://www.beautiful.ai,MARKETING,CREATIVE,,,,"[""SECURITY"",""AUTHENTIFICATION"",""AUTHORIZATION"",""PRIVACY"",""PASSWORDS"",""SINGLE SIGN ON]"
BeeFree,"BEE is the easiest, quickest way to design elegant, mobile responsive emails.",https://beefree.io/,CREATIVE,MARKETING,WEB DEV,,,
BeFunky,Photo Editing & Graphic Design Made for Everyone,https://www.befunky.com,CREATIVE,,PHOTO EDITING,,,"[""AUTOMATION"",""WORKFLOWS"",""PROCESSES"",""PROJECT MANAGEMENT"",""DATA""]"
Behance,"Behance, part of the Adobe family, is the leading online platform to showcase & discover creative work.",https://www.behance.net,CREATIVE,,,,,
BenSound,ROYALTY FREE MUSIC by BENSOUND,https://www.bensound.com/,CREATIVE,,MUSIC,SOUND,,
Bertelsmann Stiftung,,http://www.bertelsmann-stiftung.de/en/home/,NONPROFITS,,,,,
Best Marketing Tools – Saijo George,Best Marketing Tools,https://saijogeorge.com/website-builders/,MARKETING,,,,,
Betahaus,Berlin (Germany) Co-Working Space,https://www.betahaus.com,RESOURCE BASES,ENTREPRENEURIAL RESOURCES,,,,"[""USER INTERFACE (UI)"",""USER EXPERIENCE (UX)"",""WEB DESIGN"",""WIREFRAMING""]"
BetaList StartUps,BetaList is a community of makers and early adopters showcasing their startups and exchanging feedback.,https://betalist.com,RESOURCE BASES,,STARTUPS,,,
Bethnal Green Ventures,An early stage investor in ventures using technology to radically change people’s lives for the better,https://bethnalgreenventures.com/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
BetterPlace,Change the world with your donation,https://www.betterplace.org/en,NONPROFITS,,FUNDRAISING,DONATIONS,,
Bidsketch,Create professional proposals in minutes,https://www.bidsketch.com,BUSINESS TOOLS,,,,,"[""STARTUP"",""SOFTWARE""]"
BigML,Machine Learning made beautifully simple for everyone,https://bigml.com/,DEVELOPER TOOLS,,,,,
Billions in Change,"Billions in Change brings useful inventions to the unlucky half of the world, enabling higher quality of life for billions of people",https://billionsinchange.com,NONPROFITS,,,,,
BitAddress,Open Source JavaScript Client-Side Bitcoin Wallet Generator,http://bitaddress.org,DEVELOPER TOOLS,,BLOCKCHAIN,,,"[""DATABASE"",""OPEN SOURCE"",""WORKFLOWS"",""PROCESSES""]"
BitClave,Share your information in a secure way and earn money,https://www.bitclave.com/en/,BUSINESS TOOLS,,BLOCKCHAIN,DATA PROTECTION,,"[""UNITED STATES"",""USA""]"
Bitcoin,Bitcoin is an innovative payment network and a new kind of money.,https://bitcoin.org/,ACCOUNTING & FINANCE,,BLOCKCHAIN,,,
BitGive Foundation,1st Bitcoin and Blockchain Non Profit Charity,https://bitgivefoundation.org/,NONPROFITS,,BLOCKCHAIN,,,
Bitly,Links that mean business,https://bitly.com,BUSINESS TOOLS,,ANALYTICS,,,
BlackBox Accelerate,Global founder accelerator based in Silicon Valley,https://www.blackbox.org/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Block Explorer,"Bitcoin Block Explorer is an open source web tool that allows you to view information about blocks, addresses, and transactions on the Bitcoin blockchain.",https://blockexplorer.com,RESOURCE BASES,DEVELOPER TOOLS,BLOCKCHAIN,,,
Blockchain APIs,Use Blockchain's APIs at no cost to help you start building bitcoin apps.,https://blockchain.info/api,ACCOUNTING & FINANCE,DEVELOPER TOOLS,BLOCKCHAIN,,,
Blockchain Demo,Blockchain Demo,https://blockchaindemo.io,DEVELOPER TOOLS,,BLOCKCHAIN,,,"[""PHOTO STOCKS""]"
Blockchain Hotel,Courses and conferences for the pioneers,https://www.blockchainhotel.de/en/,RESOURCE BASES,,BLOCKCHAIN,,,"[""SHOWCASE"",""DISCOVER"",""CREATIVE"",""ART""]"
Blockchain World Summit,A Leading Expo for Blockchain Enthusiasts,http://www.blockchainworldsummit.co,,,BLOCKCHAIN,EVENTS,,
Blockverify,Blockchain Based Anti-Counterfeit Solution,http://www.blockverify.io/,BUSINESS TOOLS,,BLOCKCHAIN,,,"[""MARKETING"",""SEO"",""RESOURCES"",""ANALYTICS"",""TOOLS"",""SOCIAL MEDIA""]"
Blue Graphic,Quality Design Resources for Creatives,http://www.blugraphic.com,CREATIVE,,TEMPLATES,,,
Blueindic,"Manage your business in a visual, agile and simple way.",https://www.blueindic.com/,ACCOUNTING & FINANCE,,,,,
BNEXT,"An account created for all those who do not look for a bank, but quite the opposite.",https://bnext.es,,,BANKING,,,
Bokeh,An interactive visualization library that targets modern web browsers for presentation.,https://bokeh.pydata.org/en/latest/,DATA VISUALIZATION,DEVELOPER TOOLS,DATA VISUALIZATION,,,
Booomerang,,http://www.booomerang.dk,,,FUNDING,,,"[""MACHINE LEARNING (ML)"",""PREDICTION"",""ANALYTICS"",""DATA""]"
