title,description,website,main_cat_1,main_cat_2,tag_1,tag_2,tag_3,tags
European Union External Action (EEAS) Security E-Learnings,Basic Awareness in Security,https://webgate.ec.europa.eu/eeas/security-e-learnings/,,,MOOCS,,,
European Union Intellectual Property Office (EUIOPO),Protect your intellectual property in the European Union,https://euipo.europa.eu/ohimportal/en/home,,,,,,
European Union Law – EU Lex,Access to European Union Law,http://eur-lex.europa.eu/homepage.html,,,,,,
European Youth Card (EYC),Join over 6 million young Europeans and enjoy tens of thousands of discounts in over 30 countries across Europe,https://www.eyca.org/,NONPROFITS,,YOUTH,,,
European Youth Ideas,"In the context of the European Youth Event (EYE2018), the European Parliament is asking young people to come up with proposals for the future of Europe.",https://www.europeanyouthideas.eu,NONPROFITS,,YOUTH,,,
European Youth Ideas,Share your ideas for a better future,https://www.europeanyouthideas.eu/,RESOURCE BASES,NONPROFITS,,,,
EuroStat,Your Key to European Statistics,http://ec.europa.eu/eurostat,,,,,,
Evernote,Your notes. Organized. Effortless.,https://evernote.com,BUSINESS TOOLS,,PROJECT MANAGEMENT,,,
Excel Champs,"Learn Excel, Faster.",https://excelchamps.com/,RESOURCE BASES,,,,,
Expedia,"Expedia Group is the world’s travel platform, with an extensive brand portfolio that includes some of the world’s most trusted online travel brands.",https://www.expedia.com/,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,
Expensify,An expense management system for personal and business use.,https://www.expensify.com,ACCOUNTING & FINANCE,,,,,
Experteer,Europe’s executive career service,https://eu.experteer.com/,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Explorer by X (Santander),"Become an Explorer and be part of Santander X, the global community that connects entrepreneurs from all over the world.",https://explorerbyx.org/,ENTREPRENEURIAL RESOURCES,,COMMUNITIES,STARTUPS,,
Exponential Finance Summit – Switzerland,"The Exponential Finance Summit will provide you with knowledge on exponential improvements in tech as they apply to banking, wealth management, and insurance.",https://www.exponentialfinancesummit.com/,RESOURCE BASES,,BANKING,EVENTS,,
Exporo,,https://exporo.com,,,FUNDING,,,
EXTENDA Spain,"Extenda, as an instrument of the Ministry of the Presidency, Public Administration and Interior, which executes the internationalization policy of the Andalusian Government, aims to promote the foreign activity of Andalusian companies.",https://www.extenda.es,RESOURCE BASES,,,,,
f.lux,"F. lux, the popular color-adjusting application for computers and mobile devices that reduces blue light emissions for better nighttime usage",https://justgetflux.com/,PERSONAL & PROFESSIONAL DEV,,HEALTH,,,"[""EDUCATION"",""ONLINE LEARNING""]"
Facebook Boost,"Whether you're looking to grow your career, your business, or your community, we have the tools, programs, and events to help you succeed.",https://www.facebook.com/boost,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Facebook Business,Discover self-paced courses and resources to help reach your professional goals.,https://www.facebook.com/business/learn,PERSONAL & PROFESSIONAL DEV,,MOOCS,BUSINESS,,
Facebook Developers,,https://developers.facebook.com,DEVELOPER TOOLS,RESOURCE BASES,,,,
Facebook Donations,Charitable Giving Tools,https://donations.fb.com,,,,,,
Facebook Marketing Business Blueprint,"Expand your digital marketing knowledge, boost your career and add value to your company with online training, resources and certifications.",https://www.facebook.com/blueprint,RESOURCE BASES,,,,,
Facebook Social Good,Build powerful tools that improve people’s lives.,https://socialgood.fb.com,,,,,,
Facebook Study,A Facebook program that pays participants to share info about how they use apps. This helps us build better products for the Facebook community.,https://www.facebook.com/facebookstudy,ENTREPRENEURIAL RESOURCES,,,,,
Factual,The Leader in Location Data,https://www.factual.com,,,,,,
FacturaDirect,The easiest way to bring your business billing,https://www.facturadirecta.com/,ACCOUNTING & FINANCE,BUSINESS TOOLS,,,,
Fancy Crave,"Our photos are unique, artistic, and full of emotion",https://fancycrave.com/,CREATIVE,,PHOTO STOCKS,,,
FareFirst,Search hundreds of travel sites at once,https://www.farefirst.com/,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,
Fast AI,Making neural nets uncool again,https://www.fast.ai/,PERSONAL & PROFESSIONAL DEV,DEVELOPER TOOLS,,,,
Fathom AI,"Prevent injury & recover faster with a free, AI-powered app",https://www.fathomai.com/,PERSONAL & PROFESSIONAL DEV,,,,,
Federal Reserve Bank – United States,,https://www.federalreserve.gov/data.htm,ENTREPRENEURIAL RESOURCES,,,,,
Financial Times,,https://www.ft.com,,,NEWS,,,"[""SPAIN""]"
FindSpark,A community dedicated to setting up young professionals for career success.,https://www.findspark.com,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs"",""SOCIAL MEDIA""]"
Fintonic,Helping you to save and organize your money,https://www.fintonic.com/en-ES/home/,ACCOUNTING & FINANCE,,,,,"[""EDUCATION"",""ONLINE LEARNING"",""SOCIAL MEDIA""]"
Firefox Send,Share files with end-to-end encryption and a link that automatically expires,https://send.firefox.com/,BUSINESS TOOLS,,,,,
Fiverr,Freelance services. On demand.,https://www.fiverr.com,CREATIVE,ENTREPRENEURIAL RESOURCES,,,,
Fivetran,Data integration that keeps up with change.,https://fivetran.com/,DEVELOPER TOOLS,,,,,
FIWARE,Open Source Platform for the Smart Digital Future,https://www.fiware.org,RESOURCE BASES,DEVELOPER TOOLS,,,,
FIWOO,,http://www.fiwoo.eu,BUSINESS TOOLS,,,,,
FlatIcon,"The largest database of free icons available in PNG, SVG, EPS, PSD and BASE 64 formats.",https://www.flaticon.com/,CREATIVE,,,,,
FlatIron School Coding Academy,"A venture capitalist with a passion for education, and Avi Flombaum, a self-taught computer programmer committed to helping his students learn and love code.",https://flatironschool.com,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
FlexJobs,"The Best Remote and Flexible Jobs, and a Better Way to Find Them.",https://www.flexjobs.com,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,"[""PHOTO STOCKS""]"
Flickr,"Join the Flickr community, home to tens of billions of photos and 2 million groups.",https://www.flickr.com/,CREATIVE,,PHOTO STOCKS,,,
Flightics,Search your perfect European trip,https://www.flightics.com/en,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,
Flot Charts,"Flot is a pure JavaScript plotting library for jQuery, with a focus on simple usage, attractive looks and interactive features.",http://www.flotcharts.org/,DEVELOPER TOOLS,,DATA VISUALIZATION,,,
Flourish Studio,"Powerful, beautiful, easy data visualization.",https://flourish.studio/,CREATIVE,DEVELOPER TOOLS,DATA VISUALIZATION,,,"[""UNITED STATES"",""USA"",""BANKING""]"
FlowXO,Smart chatbots made simple,https://flowxo.com,BUSINESS TOOLS,,CHATBOT,,,
Fluent (Rebranded to Hijro),Partner with Hijro and gain access to powerful distributed ledger applications for your organization and your customers.,https://hijro.com/,DEVELOPER TOOLS,ACCOUNTING & FINANCE,BLOCKCHAIN,,,
FluidUI,Create Web and Mobile Prototypes in Minutes,https://www.fluidui.com,CREATIVE,DEVELOPER TOOLS,,,,
Focus Booster,Simple pomodoro timer. Powerful productivity boost.,https://www.focusboosterapp.com,BUSINESS TOOLS,,,,,
FOIA Machine,,https://www.foiamachine.org,NONPROFITS,,,,,
Follow My Vote,Follow My Vote's ambition is to build a secure online voting platform that will allow for greater election transparency.,https://followmyvote.com/,LEGAL,,BLOCKCHAIN,,,
Followerwonk,"Find, Analyze, and Optimize for Social Growth Compare the followers of any 2-3 users to find overlaps and new audiences",https://followerwonk.com/,MARKETING,,ANALYTICS,,,
Font Awesome,"Get vector icons and social logos on your website with Font Awesome, the web's most popular icon set and toolkit.",https://fontawesome.com/,CREATIVE,DEVELOPER TOOLS,BRANDING,TEMPLATES,,
Font Pro,Typography project made simple,http://fontpro.com/,CREATIVE,,,,,
Font Squirrel,Free Font Utopia,https://www.fontsquirrel.com/,RESOURCE BASES,,,,,"[""MOOCs"",""EDUCATION"",""ONLINE LEARNING""]"
Fonts2u,Fonts,https://fonts2u.com/,CREATIVE,,,,,
Food and Agriculture Organization (FAO),A specialized agency of the United Nations that leads international efforts to defeat hunger.,http://www.fao.org/home/en/,,,,,INTL ORG,"[""PHOTO STOCKS""]"
Food and Agriculture Organization (FAO) Stat,FAOSTAT provides free access to food and agriculture data,http://www.fao.org/faostat/en/#home,RESOURCE BASES,,COUNTRY PROFILES,RESEARCH,INTL ORG,
Food-X,#1 Food Innovation Accelerator in the World,https://food-x.com/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Foodies Feed,Foodiesfeed is a resource of awesome naturally looking food photos that are completely free to download.,https://www.foodiesfeed.com/,CREATIVE,,PHOTO STOCKS,,,
For Your Information (FYI) – New Zealand,,https://fyi.org.nz,NONPROFITS,,,,,
Foreign Policy Association (FPA),,https://www.fpa.org,NONPROFITS,,,,,
Foundation of Philanthropic Funds (FJC),,http://www.fjc.org,,,FUNDING,,,
Founder Institute (FI),The world’s largest pre-seed accelerator,https://fi.co/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,
Founder Therapy,"FounderTherapy provides Transitional CTO and CPO leadership to non-technical, domain-expert founders.",https://foundertherapy.co,RESOURCE BASES,,,,,
FPPT,Best Free PowerPoint Templates,https://www.free-power-point-templates.com/,BUSINESS TOOLS,CREATIVE,TEMPLATES,,,
Frankfurter Allgemeine Zeitung (FAZ),,http://www.faz.net/aktuell/,,,NEWS,,,
Free Code Camp,Learn to code.,https://www.freecodecamp.org/,PERSONAL & PROFESSIONAL DEV,,,,,
Free Formatter,"These tools include several formatters, validators, code minifiers, string escapers, encoders and decoders, message digesters, web resources and more.",https://www.freeformatter.com/,DEVELOPER TOOLS,,,,,
Free Hosting,Free web hosting,https://www.freehosting.com/,DEVELOPER TOOLS,,,,,
Free Icons,"Download SVG, PNG, AI, EPS and PSD Icons for Free",https://freeicons.io/,CREATIVE,,TEMPLATES,ICONS,,
Free Images,Find and download free stock photos - all free for personal and commercial use,https://www.freeimages.com/,CREATIVE,,PHOTO STOCKS,,,"[""INTERNATIONAL ORGANIZATION""]"
Free Music Archive,Your #1 resource for free music and royalty-free music.,https://freemusicarchive.org/,CREATIVE,,MUSIC,SOUND,,
Free Nature Stock,Royalty-free Nature Stock Photos and Videos.,https://freenaturestock.com/,CREATIVE,,PHOTO STOCKS,,,
Free Online First Aid Courses,"Free Online First Aid, CPR and AED Courses",http://www.firstaidforfree.com,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,"[""PHOTO STOCKS""]"
Free Proxy,Hide your IP and protect your online privacy was never easier,https://www.free-proxy.com/,,,,,,
Free Stock Music,Royalty-free music for your YouTube videos or projects,https://www.free-stock-music.com/,CREATIVE,,MUSIC,SOUND,,
Free Stock Photos,Beautiful Free Stock Photos,https://freestockphotos.io/,CREATIVE,,PHOTO STOCKS,,,
Freebies UI,Free hand-picked UI resources for designers,https://freebiesui.com/,CREATIVE,,TEMPLATES,,,
Freedom House – Championing Democracy,,https://freedomhouse.org,NONPROFITS,,,,,
Freelance,freelance.de brings together freelancers and projects.,https://www.freelance.de/,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Freelancer,"Hire expert freelancers for any job, online",https://www.freelancer.com,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Freelancer Map,For Freelancers & Consultants,https://www.freelancermap.com,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Freerange Stock,Photos and illustrations licensed for commercial use.,https://freerangestock.com/,CREATIVE,,PHOTO STOCKS,,,
French Law – France,The portal of the French current legislation,https://www.legifrance.gouv.fr,LEGAL,,RESEARCH,,,
FreshBooks,All-In-One Small Business Invoicing and Accounting Solution,https://www.freshbooks.com,ACCOUNTING & FINANCE,,,,,"[""PHOTO STOCKS""]"
FRIDE,,http://fride.org,NONPROFITS,,,,,"[""PHOTO STOCKS""]"
Frontify,Frontify Style Guide,https://frontify.com/styleguide,,,,,,"[""EDUCATION"",""ONLINE LEARNING""]"
FullStory,FullStory tells you everything you need to know about your digital experience.,https://www.fullstory.com/,MARKETING,,ECOMMERCE,,,
Fundación Andalucia Emprende,"Offer entrepreneurs and Andalusian companies updated information and permanent access to our services in a simple, clear and friendly way.",https://www.andaluciaemprende.es,RESOURCE BASES,,,,,"[""PHOTO STOCKS""]"
Fundación Junior Achievement España Spain,"Inspire young people to succeed and achieve their goals in a global economy, awakening in them the entrepreneurial spirit, providing them with the necessary tools to face the working world and through financial education.",http://fundacionjaes.org,RESOURCE BASES,,,,,
Fundación Lealtad,Transparencia,https://www.fundacionlealtad.org/principios-de-transparencia/,,,,,,
Fundación Universidad-Empresa Spain,"Developing knowledge, dialogue and collaboration mechanisms between academia and business.",https://fundacionuniversidadempresa.es/en/,RESOURCE BASES,,STARTUPS,,,
Fundacja Dobra Sieć – Poland,,http://dobrasiec.org,,,,,,
Fundcomb,Freely searchable database of all investor types globally,https://fundcomb.com/,ACCOUNTING & FINANCE,RESOURCE BASES,COMPANY,RESEARCH,,
Funded By Me,Crowdfunding for intelligent growth,https://www.fundedbyme.com/en/,ENTREPRENEURIAL RESOURCES,,FUNDING,,,"[""PHOTO STOCKS""]"
Fundera,Discover financial options you never knew you had,https://www.fundera.com,ACCOUNTING & FINANCE,,,,,
Funding Circle,,https://www.fundingcircle.com/uk/,,,FUNDING,,,
FundingPath,Tech company valuations visualised,https://fundingpath.co/,RESOURCE BASES,,COMPANY,RESEARCH,,
Fundly,,https://fundly.com,,,FUNDING,,,
FundRazr,Next generation online fundraising platform,https://fundrazr.com,,,FUNDING,,,
Fundrise,Introducing the first private market real estate investing platform,https://fundrise.com,RESOURCE BASES,ACCOUNTING & FINANCE,,,,
Fundrise,"Introducing the first simple, low-cost real estate investment platform.",https://fundrise.com/,,,,,,"[""SPAIN"",""YOUTH""]"
Funnelytics,Map Better Funnels,https://funnelytics.io/,MARKETING,,,,,
FutureLabEurope,Young Europeans for Active Citizenship,https://futurelabeurope.eu,NONPROFITS,,YOUTH,,,"[""SPAIN""]"
GADM,GADM provides maps and spatial data for all countries and their sub-divisions.,https://gadm.org/index.html,DEVELOPER TOOLS,,,,,
Gallup,Analytics & Advice About Everything That Matters,http://www.gallup.com/home.aspx,NONPROFITS,,,,,
Gantter (Google),Community-Powered | Cloud-Based | Project Management & Scheduling,https://www.gantter.com,,,,,,
Gapminder,,https://www.gapminder.org,ENTREPRENEURIAL RESOURCES,,,,,
Gateway Incubator,Business accelerator and seed investment program born out of Silicon Valley and located in the capital of cannabis advocacy and innovation,https://www.gtwy.co/,RESOURCE BASES,,INCUBATOR,STARTUPS,,
GDPR Checker by Siftery Track,Use G2 Track to track your vendor's privacy and security practices,https://trackapp.g2.com/gdpr-checker,BUSINESS TOOLS,LEGAL,,,,
GDPR EMAIL COPY,Great GDPR email templates to use under GDPR brought to you by salestools,http://www.gdpremailcopy.com/,LEGAL,,,,,
Gem,All-in-One Cryptocurrency Platform,https://gem.co,ACCOUNTING & FINANCE,,BLOCKCHAIN,,,
General Assembly,"A pioneer in education and career transformation, specializing in today’s most in-demand skills",https://generalassemb.ly,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Generate Data,Custom formatted sample or test data,http://www.generatedata.com/,DEVELOPER TOOLS,,,,,
Generation,Career-launching skills for young people and the talent that employers need now.,https://www.generation.org,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Geographic Information Systems (GIS) Data,This page contains a categorised list of links to over 500 sites providing freely available geographic datasets - all ready for loading into a Geographic Information System.,https://freegisdata.rtwilson.com/,,,,,,
German Accelerator,Empowering German Startups to Scale Globally,https://www.germanaccelerator.com/,RESOURCE BASES,,ACCELERATOR,STARTUPS,,"[""DATA VISUALIZATION"",""DATA""]"
Get DBT,Your entire analytics engineering workflow,https://www.getdbt.com/,DEVELOPER TOOLS,,ANALYTICS,DATA,,
Get Harvest,Time tracking software for those who value insight.,https://www.getharvest.com,BUSINESS TOOLS,,,,,
Get Mimo,"Learn to code, build apps, and much more",https://getmimo.com,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Get Refe,"Royalty-free, high-quality, natural looking photos.",http://getrefe.com/,CREATIVE,,PHOTO STOCKS,,,
GetTwitterID,The easiest way to find/get a User's Twitter ID,http://gettwitterid.com/,MARKETING,,ANALYTICS,SOCIAL MEDIA,,
GetUp! – Australia,,https://www.getup.org.au,NONPROFITS,,,,,
Ghostery,"Faster, safer, and smarter browsing",https://www.ghostery.com/,BUSINESS TOOLS,,,,,"[""CRYPTOCURRENCY""]"
Gibiru,Uncensored Anonymous Search,http://gibiru.com,BUSINESS TOOLS,,,,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs""]"
Gibraltar Blockchain Conference,Blockchain & Bitcoin Conference Gibraltar 2018,https://gibraltar.bc.events,,,BLOCKCHAIN,,,
GistApp,"Create engaging, connective microsites from your structured data.",https://www.gistapp.com,BUSINESS TOOLS,,,,,
GitHub,Development platform inspired by the way you work.,https://github.com/,RESOURCE BASES,DEVELOPER TOOLS,,,,"[""SPATIAL DATA"",""DATA"",""DATASETS""]"
GitHub Education Pack,Learn to ship software like a pro,https://education.github.com/pack,RESOURCE BASES,PERSONAL & PROFESSIONAL DEV,YOUTH,,,
GitHub Jobs,GitHub Jobs is a great place attract the best technical talent for your company's open software development positions.,https://jobs.github.com/positions,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
GitHub Learning Lab,"Learn new skills by completing fun, realistic projects in your very own GitHub repository.",https://lab.github.com/,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Give Tide,Round Up Spare Change.  Donate with a Tap.,https://www.givetide.com,,,,,,"[""EDUCATION"",""MOOCs"",""ONLINE LEARNING""]"
Giving Report NGO,Trends in Giving Survey,https://givingreport.ngo,,,,,,"[""PHOTO STOCKS""]"
Glassdoor,Find The Job That Fits Your Life,https://www.glassdoor.com/,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Global Entrepreneurship Monitor (GEM) Consortium,World's foremost study of entrepreneurship,https://www.gemconsortium.org/,RESOURCE BASES,ENTREPRENEURIAL RESOURCES,,,,
Global Financial Data,We are the original supplier of alternative data never before compiled into an electronic format.,http://www.globalfinancialdata.com,RESOURCE BASES,,,,,
Global Impact Investing Network (GIIN),Job openings from members of the GIIN Investors’ Council and other impact investing leaders.,https://jobs.thegiin.org,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Global Jobs,Jobs for Global Professionals,https://www.globaljobs.org,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,"[""BLOCKCHAIN"",""EVENTS""]"
Global Partnership for Social Accountability (GPSA) Knowledge,The Global Partnership for Social Accountability (GPSA) aims to provide strategic and sustained support to civil society organizations’ (CSOs) social accountability initiatives to ultimately improve governance and service delivery.,https://gpsaknowledge.org/,RESOURCE BASES,,,,,
Global Shapers – World Economic Forum (WEF),"The Global Shapers Community is a network of young people driving dialogue, action and change.",https://www.globalshapers.org,PERSONAL & PROFESSIONAL DEV,,NETWORK,COMMUNITY,,
Global Youth Economic Opportunities Summit (GYEO),"Experts come to the Summit to increase the impact, scale and sustainability of their youth economic opportunities programming, policies, and partnerships.",https://www.youtheosummit.org/,NONPROFITS,,YOUTH,,,
Globe and Mail,"The Globe and Mail, founded in 1844, is Canada's foremost news media company and a part of Canada’s fabric.",https://www.theglobeandmail.com,RESOURCE BASES,,NEWS,,,
Go Abra,Invest in the world's most exciting stocks using Bitcoin,https://www.goabra.com/,ACCOUNTING & FINANCE,,BLOCKCHAIN,,,"[""MOOCs"",""EDUCATION"",""ONLINE LEARNING""]"
Go Fund Me,The #1 and most trusted free fundraising platform,https://www.gofundme.com,,,FUNDING,,,
Go Highbrow,We bring Knowledge to your Inbox,https://gohighbrow.com,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Gone For Good,,https://goneforgood.org.uk,,,,,,
Good Free Photos,"Free Photos (Public Domain Photos), stock Photos, Clipart, images, and Vectors",https://www.goodfreephotos.com/,CREATIVE,,PHOTO STOCKS,,,
Good News Network (GNN),,https://www.goodnewsnetwork.org,ENTREPRENEURIAL RESOURCES,,,,,
Good Stock Photos,Free Images for Personal or Commercial Use,https://goodstock.photos/,CREATIVE,,PHOTO STOCKS,,,
Google AI Education,Learn from ML experts at Google,https://ai.google/education/,DEVELOPER TOOLS,,MOOCS,PROGRAMMING,,
Google Alert,Monitor the Web for interesting new content,https://www.google.com/alerts,MARKETING,,ANALYTICS,MONITORING,,
Google Analytics,Google Analytics gives you the free tools you need to analyze data for your business in one place,https://www.google.com/analytics/,MARKETING,,ANALYTICS,,,
Google Charts,"Google chart tools are powerful, simple to use, and free.",https://developers.google.com/chart/,BUSINESS TOOLS,CREATIVE,DATA VISUALIZATION,,,
Google Charts,"Google chart tools are powerful, simple to use, and free",https://developers.google.com/chart/,CREATIVE,,,,,
Google Cloud Platform,,https://cloud.google.com,,,,,,
Google Cloud Training,Become a Google Cloud expert,https://cloud.google.com/training/,PERSONAL & PROFESSIONAL DEV,,MOOCS,PROGRAMMING,,
Google Code,Open source is good for everyone! Google believes that by being open and freely available,https://code.google.com/,DEVELOPER TOOLS,,,,,"[""EDUCATION"",""MOOCs"",""ONLINE LEARNING""]"
Google Code – Archive,"The Google Code Archive contains the data found on the Google Code Project Hosting Service, which was turned down in early 2016.",https://code.google.com/archive/,DEVELOPER TOOLS,,,,,
Google Consumer Barometer,,https://www.consumerbarometer.com/en/,,,,,,"[""PHOTO STOCKS""]"
Google Custom Search Engine,"With Google Custom Search, add a search box to your homepage to help people find what they need on your website.",https://cse.google.com/cse/,BUSINESS TOOLS,MARKETING,,,,
Google Dataset Search,Search online for data sets,https://toolbox.google.com/datasetsearch,BUSINESS TOOLS,,,,,
Google Developers Training,Training for Android and web developers,https://developers.google.com/training/,PERSONAL & PROFESSIONAL DEV,,MOOCS,PROGRAMMING,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs""]"
Google Fi,"Meet Google Fi, a different kind of phone plan",https://fi.google.com/about/,BUSINESS TOOLS,,,,,
Google Flights,Google Flights is an online flight booking search service which facilitates the purchase of airline tickets through third-party suppliers.,https://www.google.com/flights/,PERSONAL & PROFESSIONAL DEV,,TRAVEL,,,
Google Fonts,,https://fonts.google.com/,CREATIVE,,,,,
Google For Education,Solutions built for Teachers and Students,https://edu.google.com/,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Google For Nonprofits,Tackle big challenges with Google's technology,https://www.google.com/nonprofits/,,,,,,
Google Grants,Google For Nonprofits,https://www.google.com/grants/,,,,,,"[""MOOCs"",""EDUCATION"",""ONLINE LEARNING"",""CLOUD""]"
Google Grow,"Free training, tools, and events to help you grow your skills, career, or business.",https://grow.google/intl/europe/,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Google Job Search,Have your job postings found by millions of job seekers who search on Google every day.,https://jobs.google.com/about/,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Google Market Finder,Take your business to new customers around the world. Let us know a little about your business to get started.,https://marketfinder.thinkwithgoogle.com/intl/en/,ENTREPRENEURIAL RESOURCES,,,,,
Google Marketing Platform,"Introducing Google Marketing Platform, a unified advertising and analytics platform for smarter marketing and better results.",https://marketingplatform.google.com/about/,BUSINESS TOOLS,MARKETING,,,,
Google Open Online Education,Planning Your Online Course,https://edu.google.com/openonline/,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Google Open Source,Bringing better technology to the world by promoting open source.,https://opensource.google.com/,DEVELOPER TOOLS,,,,,"[""MOOCs"",""EDUCATION"",""ONLINE LEARNING""]"
Google ORG,"Data-driven, human-focused philanthropy – powered by Google",https://www.google.org,,,,,,
Google Page Speed Insights,Make your web pages fast on all devices,https://developers.google.com/speed/pagespeed/insights/,MARKETING,DEVELOPER TOOLS,ANALYTICS,WEBSITE,,
Google Partners,Google advertising partnerships,https://www.google.com/partners/,MARKETING,,,,,
Google Password Checkup,Check your saved passwords to strengthen your security.,https://passwords.google.com/,DEVELOPER TOOLS,PERSONAL & PROFESSIONAL DEV,,,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs""]"
Google Public Data Explorer,"Google Public Data Explorer makes large datasets easy to explore, visualize and communicate.",https://www.google.com/publicdata/directory,RESOURCE BASES,,,,,
Google Public DNS,"A free, global DNS resolution service that you can use as an alternative to your current DNS provider.",https://developers.google.com/speed/public-dns/,DEVELOPER TOOLS,,,,,"[""NONPROFIT""]"
Google Rich Media Gallery,,http://www.richmediagallery.com,,,,,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs""]"
Google Scholar,,https://scholar.google.com,ENTREPRENEURIAL RESOURCES,,,,,
Google Search Console,"Search Console tools and reports help you measure your site's Search traffic and performance, fix issues, and make your site shine in Google Search results",https://search.google.com/search-console/about,MARKETING,,ANALYTICS,SEARCH,,
Google Search Excellence,Use Search to find what matters to your business,https://www.thinkwithgoogle.com/searchexcellence/,BUSINESS TOOLS,,,,,
Google Seedbank,Collection of Interactive Machine Learning Examples,https://research.google.com/seedbank/,DEVELOPER TOOLS,,,,,"[""EDUCATION"",""ONLINE LEARNING"",""MOOCs""]"
Google SEO,Free SEO Tools,https://googleseo.de/,MARKETING,,ANALYTICS,SEO,,
Google Shopping Insights,,https://shopping.thinkwithgoogle.com,,,,,,
Google StartUp,"Wherever your startup is, from concept to scaleup, Google for Startups can help move your business forward",https://startup.google.com/,ENTREPRENEURIAL RESOURCES,RESOURCE BASES,STARTUPS,,,
Google TakeOut,Export a copy of content in your Google Account if you want to back it up or use it with a service outside of Google.,https://takeout.google.com/,BUSINESS TOOLS,,,,,
Google Toolbox,Use the G Suite Toolbox to troubleshoot issues you have with G Suite services.,https://toolbox.googleapps.com/apps/main/,DEVELOPER TOOLS,,ANALYTICS,,,
Google Training Center – News Initiative Journalism,Learn the best ways to use Google tools for reporting and storytelling.,https://newsinitiative.withgoogle.com/training/,PERSONAL & PROFESSIONAL DEV,,MOOCS,,,
Google Trends & Keywords,Explore what the world is searching,https://trends.google.com/trends/,MARKETING,RESOURCE BASES,ANALYTICS,RESEARCH,TRENDS,
Google Web Designer,"Create engaging, interactive HTML5-based designs and motion graphics that can run on any device.",https://www.google.com/webdesigner/,DEVELOPER TOOLS,CREATIVE,,,,
Goose VPN,Safe and unlimited internet for everyone,https://goosevpn.com/,DEVELOPER TOOLS,,VPN,,,
Goteo Foundation,Crowdfunding the Commons,http://en.goteo.org,ENTREPRENEURIAL RESOURCES,,FUNDING,,,
Grab,"Grab is a Singapore-based technology company offering ride-hailing transport services, food delivery and payment solutions.",https://www.grab.com/,,,,,,
Grain App,"We simplified the stock market and made it easy to learn, together.",http://www.grainapp.io/,,,,,,
Grants USA,,https://www.grants.gov,,,FUNDING,,,
GraphQL,GraphQL is a query language for APIs and a runtime for fulfilling those queries with your existing data.,https://graphql.org/,DEVELOPER TOOLS,,,,,
Grasshopper App,The coding app for beginners,https://grasshopper.app/,PERSONAL & PROFESSIONAL DEV,,,,,
Gratisography,"The world's quirkiest collection of free high-resolution pictures, comprised of the world's best, most creative images",https://gratisography.com/,CREATIVE,,PHOTO STOCKS,,,
Gratisography,"Quirky, Creative, Always Free Photos",https://gratisography.com/,CREATIVE,,PHOTO STOCKS,,,
Greenpeace International,,https://www.greenpeace.org/archive-international/en/,NONPROFITS,,,,,"[""ONLINE LEARNING"",""EDUCATION"",""MOOCs""]"
Groupe SOS – European Union (EU),,http://www.groupe-sos.org/en,,,,,,
Growjo,Growjo is a free database and API of the fastest growing companies in the world,https://growjo.com/,RESOURCE BASES,,COMPANY,RESEARCH,,
GuideStar,,https://www.guidestar.org/Home.aspx,,,,,,
Gulf Research Center (GRC),,http://www.grc.net,NONPROFITS,,,,,
Gun,"Hire Great Freelance Engineers, Fast.",https://www.gun.io,PERSONAL & PROFESSIONAL DEV,,CAREER,JOB,,
Gupshup,Smart messaging platform for building conversational experiences,https://www.gupshup.io/developer/home,BUSINESS TOOLS,,CHATBOT,,,
